	child	parent
594	LP15496-0	LP15448-1
595	LP15497-8	LP15496-0
596	LP15498-6	LP31661-9
597	LP15499-4	LP18578-2
598	LP15499-4	LP14651-1
599	LP15500-9	LP14651-1
600	LP15502-5	LP15705-4
601	LP15503-3	LP31392-1
602	LP15503-3	LP30682-6
603	LP15504-1	LP18033-8
604	LP15504-1	LP31397-0
605	LP15505-8	LP31689-0
606	LP15506-6	LP31406-9
607	LP15507-4	LP31392-1
608	LP15508-2	LP31653-6
609	LP15509-0	LP31403-6
610	LP15510-8	LP31392-1
611	LP15511-6	LP32868-9
612	LP15512-4	LP32868-9
613	LP15513-2	LP32868-9
614	LP15514-0	LP32868-9
615	LP15515-7	LP15510-8
616	LP15516-5	LP18699-6
617	LP15518-1	LP15505-8
618	LP15519-9	LP18033-8
619	LP15520-7	LP18377-9
620	LP15521-5	LP18033-8
621	LP15522-3	LP31392-1
622	LP15523-1	LP31392-1
623	LP15524-9	LP31392-1
624	LP15525-6	LP31392-1
625	LP15526-4	LP31392-1
626	LP15527-2	LP15528-0
627	LP15528-0	LP31654-4
628	LP15528-0	LP234174-3
629	LP15529-8	LP15528-0
630	LP15530-6	LP15444-0
631	LP15531-4	LP31397-0
632	LP15532-2	LP31413-5
633	LP15534-8	LP14913-5
634	LP15536-3	LP15575-1
635	LP15537-1	LP31392-1
636	LP15538-9	LP31392-1
637	LP15539-7	LP31392-1
638	LP15542-1	LP15704-7
639	LP15543-9	LP15090-1
640	LP15544-7	LP31392-1
641	LP15546-2	LP18546-9
642	LP15547-0	LP18546-9
643	LP15548-8	LP31655-1
644	LP15549-6	LP31392-1
645	LP15551-2	LP15386-3
646	LP15552-0	LP31654-4
647	LP15553-8	LP64575-1
648	LP15554-6	LP15838-3
649	LP15556-1	LP14497-9
650	LP15557-9	LP15558-7
651	LP15558-7	LP18957-8
652	LP15559-5	LP15558-7
653	LP15560-3	LP14661-0
654	LP15561-1	LP15560-3
655	LP15562-9	LP29636-5
656	LP15563-7	LP29636-5
657	LP15564-5	LP31654-4
658	LP15566-0	LP14488-8
659	LP15567-8	LP14488-8
660	LP15567-8	LP15705-4
661	LP15568-6	LP15677-5
662	LP15569-4	LP31392-1
663	LP15573-6	LP15623-9
664	LP15574-4	LP31395-4
665	LP15575-1	LP31701-3
666	LP15577-7	LP31392-1
667	LP15578-5	LP31399-6
668	LP15582-7	LP31392-1
669	LP15583-5	LP31399-6
670	LP15584-3	LP31399-6
671	LP15585-0	LP31392-1
672	LP15586-8	LP31399-6
673	LP15587-6	LP31406-9
674	LP15588-4	LP31415-0
675	LP15589-2	LP31392-1
676	LP15590-0	LP31392-1
677	LP15592-6	LP31655-1
678	LP15593-4	LP14908-5
679	LP15594-2	LP14665-1
680	LP15595-9	LP14665-1
681	LP15596-7	LP14665-1
682	LP15597-5	LP31419-2
683	LP15600-7	LP31392-1
684	LP15601-5	LP31392-1
685	LP15604-9	LP31406-9
686	LP15605-6	LP18033-8
687	LP15605-6	LP30682-6
688	LP15606-4	LP31392-1
689	LP15607-2	LP15606-4
690	LP15608-0	LP15606-4
691	LP15609-8	LP18033-8
692	LP15610-6	LP31392-1
693	LP15611-4	LP31392-1
694	LP15612-2	LP31392-1
695	LP15613-0	LP31392-1
696	LP15614-8	LP31392-1
697	LP156140-8	LP157330-4
698	LP156141-6	LP157331-2
699	LP15615-5	LP15617-1
700	LP15616-3	LP15617-1
701	LP15617-1	LP31415-0
702	LP156179-6	LP157331-2
703	LP15618-9	LP31399-6
704	LP15619-7	LP64092-7
705	LP15620-5	LP18033-8
706	LP15621-3	LP31392-1
707	LP15622-1	LP18033-8
708	LP15623-9	LP15838-3
709	LP15624-7	LP31413-5
710	LP15626-2	LP31392-1
711	LP15627-0	LP31405-1
712	LP15628-8	LP15835-9
713	LP15629-6	LP31413-5
714	LP15631-2	LP31392-1
715	LP15632-0	LP15631-2
716	LP15633-8	LP15631-2
717	LP15635-3	LP31433-3
718	LP15636-1	LP31415-0
719	LP15637-9	LP18033-8
720	LP15638-7	LP31392-1
721	LP15639-5	LP15637-9
722	LP15640-3	LP15504-1
723	LP15641-1	LP31415-0
724	LP15642-9	LP18033-8
